,fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
0,ALBUSKJELL,Reservoir,"The reservoirs contain gas and condensate from Maastrichtian and lower Paleocene chalk. The accumulation is located above a salt dome. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of 3200 metres. The overlying Ekofisk Formation has poorer reservoir quality and has hardly been drained.",43437,08.05.2026,17.07.2026
1,ALBUSKJELL,Recovery strategy,The field will be produced by pressure depletion.,43437,08.05.2026,17.07.2026
2,ALBUSKJELL,Transport,The well stream will be transported via pipeline to the Ekofisk Complex for further export.,43437,08.05.2026,17.07.2026
3,ALBUSKJELL,Development,"Albuskjell is a field in the southern part of the Norwegian sector in the North Sea, 20 kilometres west of the Ekofisk field. The water depth is 70 metres. Albuskjell was discovered in 1972. The original plan for development and operation (PDO) was approved in 1975, and production started in 1979. The field was developed with two steel installations. Albuskjell was shut down in 1998, and the platforms were removed in 2013. A PDO for the redevelopment of Albuskjell was approved in 2026. The development concept includes two subsea templates with six wells tied back to the Ekofisk Centre.",43437,08.05.2026,17.07.2026
4,ALBUSKJELL,Status,"The field is under development, and the production is planned to start in 2028.",43437,08.05.2026,17.07.2026
5,ALVE,Recovery strategy,The field is produced by pressure depletion.,4444332,20.02.2026,17.07.2026
6,ALVE,Transport,The oil is offloaded from the Norne FPSO and the gas is transported via the Norne pipeline to the Åsgard Transport System (ÅTS) and further to the Kårstø terminal for export.,4444332,20.02.2026,17.07.2026
7,ALVE,Reservoir,"Alve produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje, Not and Garn Formations. The reservoir is at a depth of 3600 metres and has moderate to good quality.",4444332,20.02.2026,17.07.2026
8,ALVE,Status,Production from Alve is constrained by the commercial agreement with the Norne licence and the gas handling capacity on the Norne FPSO. Excess capacity on the FPSO in recent years has made it possible to process larger volumes of gas from Alve. The long-term activity on the field is to optimise production. Andvare is drilled and produced from a well slot available on Norne. ,4444332,20.02.2026,17.07.2026
9,ALVE,Development,"Alve is a field in the Norwegian Sea, 16 kilometres southwest of the Norne field. The water depth is 370 metres. Alve was discovered in 1990, and the plan for development and operation (PDO) was approved in 2007. The development concept is a standard subsea template with four production wells. Alve is tied to the Norne production, storage and offloading vessel (FPSO) by a pipeline. The production started in 2009. An exemption from a PDO was granted for the development of the discovery 6507/3-8 Andvare in 2023.",4444332,20.02.2026,17.07.2026
10,ALVE NORD,Recovery strategy,The field will be produced by pressure depletion.,42002483,20.02.2026,17.07.2026
11,ALVE NORD,Reservoir,"The reservoirs contain oil and gas in the Lower Jurassic Båt Group and the Middle Jurassic Fangst Group, and gas in the Early Cretaceous Lange Formation. The Lange Formation reservoir is at a depth of 3000 metres and the Jurassic reservoirs at about 3600-4000 metres. The reservoir properties are varying.",42002483,20.02.2026,17.07.2026
12,ALVE NORD,Development,"Alve Nord is a field in the northern part of the Norwegian Sea, 40 kilometres northeast of the Skarv field. The water depth is 380 metres. Alve Nord was discovered in 2011, and the plan for development and operation (PDO) was approved in 2023. The development concept includes a subsea template with two production wells tied-back to the Skarv floating, production, storage and offloading vessel (FPSO).",42002483,20.02.2026,17.07.2026
13,ALVE NORD,Transport,The gas will be exported via the Åsgard Transport System (ÅTS) to the terminal at Kårstø. Oil and condensate will be offloaded from the Skarv FPSO to shuttle tankers.,42002483,20.02.2026,17.07.2026
14,ALVE NORD,Status,Alve Nord is being developed together with Ørn and Idun Nord as part of the Skarv Satellite Project (SSP). The production is planned to start in 2027.,42002483,20.02.2026,17.07.2026
15,ALVHEIM,Recovery strategy,The field is produced by natural water drive from an underlying aquifer.,2845712,20.02.2026,17.07.2026
16,ALVHEIM,Transport,The oil is stabilised and stored on the Alvheim FPSO before it is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline on the UK continental shelf.,2845712,20.02.2026,17.07.2026
17,ALVHEIM,Reservoir,"Alvheim produces oil and gas from Paleocene sandstone in the Hermod and Heimdal Formations. The reservoirs are located in submarine fan deposits and injectites, mostly at depths of 2100-2200 metres. The reservoir quality is good.",2845712,20.02.2026,17.07.2026
18,ALVHEIM,Status,"Due to greater in-place volumes and longer infill wells, Alvheim has had a significant increase in the estimated recoverable volumes of oil and gas since the PDO. Other accumulations, such as Kobra East and Gekko which were put into production in 2023, have also contributed to increased production. ",2845712,20.02.2026,17.07.2026
19,ALVHEIM,Development,"Alvheim is a field in the central part of the North Sea, ten kilometres west of the Heimdal field and near the border to the UK sector. The field includes the six discoveries Kameleon, Boa, Kneler, Viper, Kobra and Gekko. Boa lies partly in the UK sector. The water depth is 120-130 metres. Alvheim was discovered in 1998, and the plan for development and operation (PDO) was approved in 2004. The field is developed with subsea wells tied to a production, storage and offloading vessel, Alvheim FPSO. The production started in 2008. The Vilje, Volund, Bøyla, Skogul and Tyrving fields are tied-back to the Alvheim FPSO. In 2022, a PDO for the development of the accumulations Kobra East and Gekko was approved.",2845712,20.02.2026,17.07.2026
20,ATLA,Transport,The well stream was transported via the Skirne/Byggve subsea facility to Heimdal for processing and export.,21106284,20.02.2026,17.07.2026
21,ATLA,Reservoir,Atla produced gas from Middle Jurassic sandstone in the Brent Group. The reservoir is at a depth of 2700 metres and has good quality.,21106284,20.02.2026,17.07.2026
22,ATLA,Status,"Atla was shut down in 2023, and decommissioning is ongoing.",21106284,20.02.2026,17.07.2026
23,ATLA,Development,"Atla is a field in the central part of the North Sea, 20 kilometres northeast of the Heimdal field. The water depth is 120 metres. Atla was discovered in 2010, and the plan for development and operation (PDO) was approved in 2011. The field was developed with one production well which was connected to a subsea facility and was tied-back to Heimdal via the Skirne field. The production started in 2012.",21106284,20.02.2026,17.07.2026
24,ATLA,Recovery strategy,The field was produced by pressure depletion.,21106284,20.02.2026,17.07.2026
25,BALDER,Status,Balder and Ringhorne are in the tail production phase but still have significant remaining production potential. The objective of extended field life and the relocation of the Jotun FPSO is to utilise the existing infrastructure in the area to increase the field recovery and develop the nearby discoveries. ,43562,20.02.2026,17.07.2026
26,BALDER,Development,"Balder is a field in the central part of the North Sea, just west of the Grane field. The water depth is 125 metres. Balder was discovered in 1967, and the initial plan for development and operation (PDO) was approved in 1996. The production started in 1999. The field has been developed with subsea wells tied-back to the Balder production, storage and offloading vessel (FPSO). The Ringhorne deposit, located nine kilometres north of the Balder FPSO, is included in the Balder complex. Ringhorne is developed with a combined accommodation, drilling and wellhead facility, tied-back to the Balder FPSO and Jotun FPSO for processing, crude oil storage and gas export. The nearby field Ringhorne Øst is also tied-back to Balder via the Ringhorne platform. The PDO for Ringhorne Jura was approved in 2000, and the production started in 2003. The Ringhorne Vest PDO exemption was approved in 2003, and the production started in 2004. An amended PDO for Ringhorne was approved in 2007. A revised PDO for Balder and Ringhorne was approved in 2020. The development plan includes lifetime extension and relocation of the Jotun FPSO, and drilling of new subsea wells.

",43562,20.02.2026,17.07.2026
27,BALDER,Transport,The oil is transported by tankers. Excess gas from Balder and Ringhorne is exported from the Jotun FPSO through the Statpipe system to Kårstø and from there on to continental Europe.,43562,20.02.2026,17.07.2026
28,BALDER,Recovery strategy,"Balder and Ringhorne produce primarily by natural aquifer drive, but reinjection of produced water is used for pressure support, especially into the Ringhorne Jurassic reservoir. Excess water is injected into the Utsira Formation. Gas is also reinjected if the gas export system is down.",43562,20.02.2026,17.07.2026
29,BALDER,Reservoir,"Balder, including Ringhorne, produces oil from several separate deposits in sandstone of Jurassic, Paleocene and Eocene age. Balder produces from the Heimdal and Hermod Formations as well as from the injected sand complex above them. Ringhorne produces from the Hugin, Ty and Hermod Formations. The reservoirs are of good to very good quality. The Balder reservoir is at a depth of 1700 metres and the Ringhorne reservoir at a depth of 1900 metres.",43562,04.07.2026,17.07.2026
30,BAUGE,Reservoir,"The main reservoirs contain oil in Lower and Middle Jurassic sandstone in the Tilje and Ile Formations, at a depth of 2700 metres. They are segmented and have moderate quality.",29446221,20.02.2026,17.07.2026
31,BAUGE,Status,"The production is lower than anticipated, partly due to lower reservoir quality and downtime of the process facility. Identifying and maturation of infill targets is ongoing.",29446221,20.02.2026,17.07.2026
32,BAUGE,Recovery strategy,The field is produced by pressure depletion. Pressure maintenance with water injection is planned to start few years after production start-up.,29446221,20.02.2026,17.07.2026
